targetname,datetime_jd,datetime_str,e,q,incl,Omega,w,Tp_jd,n,M,nu,a,Q,P
Neptune Barycenter (8),2440587.5,A.D. 1970-Jan-01 00:00:00.0000,0.004339757386106929,30.06450900701395,1.770136117092321,131.7403711399222,275.0424283515579,2468798.115835276,0.005940196819955258,192.4233895263146,192.3169674461627,30.19555036975867,30.32659173250339,60604.05251062228
Neptune Barycenter (8),2440588.5,A.D. 1970-Jan-02 00:00:00.0000,0.004337154718759778,30.06468275625123,1.770135559646235,131.7404288588056,275.0033313553766,2468791.632605132,0.005940168617250272,192.4686367908476,192.3618968549729,30.19564594454563,30.32660913284002,60604.34024626147
