targetname,datetime_jd,datetime_str,e,q,incl,Omega,w,Tp_jd,n,M,nu,a,Q,P
Mars Barycenter (4),2440587.5,A.D. 1970-Jan-01 00:00:00.0000,0.09344515097295036,1.381344499892123,1.852270713539995,49.64748434156895,286.3372898298113,2440516.177807689,0.5240132488923569,37.37377371117427,44.51695203302753,1.523729646777177,1.66611479366223,687.0055304154179
Mars Barycenter (4),2440588.5,A.D. 1970-Jan-02 00:00:00.0000,0.09344538788882747,1.381344331147059,1.852270560685023,49.64748694574087,286.3372287016765,2440516.177728784,0.5240131394968589,37.89782039526816,45.12068309603074,1.523729858844579,1.666115386542099,687.0056738379895
