targetname,datetime_jd,datetime_str,e,q,incl,Omega,w,Tp_jd,n,M,nu,a,Q,P
Jupiter Barycenter (5),2440587.5,A.D. 1970-Jan-01 00:00:00.0000,0.0481491275147652,4.952682248725359,1.304860786616359,100.3999832369124,273.7256893579125,2442634.974026033,0.08308143236737842,189.8929251821682,188.9981844436234,5.203212385354182,5.453742521983006,4333.098139282351
Jupiter Barycenter (5),2440588.5,A.D. 1970-Jan-02 00:00:00.0000,0.04814911795051419,4.952682271344615,1.304860720941494,100.3999959709471,273.7257810840371,2442634.975392573,0.08308143305043045,189.9758916826419,189.0737108253791,5.203212356835458,5.4537424423263,4333.098103657888
