Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Y_Low,Y_High,Y_Close,ATRP,BBW_Low,BBW_High,BBW_Close,RVO_Low,RVO_High,RVO_Close,RVI_High,RVI_Low,RVI_Close,RV,fast_trend_run,structural_direction,slow_trend_run,breaking_gap,fast_swing_ratio,slow_swing_ratio,cos_θ1,sin_θ1,cos_θ2,sin_θ2,cos_θ3,sin_θ3,cos_θ4,sin_θ4,p_up,p_down
2021-05-25,30.971022393544573,31.084498560405994,30.65490933100386,30.889968872070312,2159600,0.0,0.0,-0.0032942789120025888,-0.0031193728419019093,-0.00157193834213955,0.01689918123275352,0.04672857548647696,0.052291826857857625,0.046096876858678845,0.024569738375151258,0.023295059847245263,0.01141428891294613,56.36657353950463,51.35591813402485,64.01275600727227,0.00782592770305228,-0.09726715087890625,-1.0,-0.09726715087890625,0.17831464353134052,2.0,0.04000156879663478,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2021-05-26,30.91427548006411,30.930486798127248,30.622477938913125,30.72784996032715,1797100,0.0,0.0,-0.0004404172050702441,-0.002066598787225218,-0.002189405900684073,0.01649087121184269,0.042597875491306725,0.046610751303429426,0.03854863691154117,0.019311671086358714,0.02267556232626932,0.01389026277286432,51.11191930347615,45.60986302839845,54.772544570503214,0.00647812702909963,-0.2593860626220703,-1.0,-0.2593860626220703,0.0,0.0,0.28447094003369616,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8577645299831519,0.14223547001684808
2021-05-27,30.792704998624224,30.946707931077626,30.671121620586344,30.735963821411133,4048200,0.0,0.0,0.0007936176374500504,0.0002621504258776872,0.00013201037463762315,0.01594935580637744,0.038392844281674464,0.04061891651035221,0.03253863745733564,0.013412504755322257,0.009591322380724927,0.008057141158590058,55.73677854597508,51.886663473587745,61.22532208966175,0.014596671655725259,0.008113861083984375,1.0,0.008113861083984375,0.0,0.0,0.0009785023259343624,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0004892511629671812,0.9995107488370328
2021-05-28,30.776489875852608,31.10070702393723,30.703540476434732,30.881858825683594,2387500,0.0,0.0,0.00031152290850385337,0.0014637802726123609,0.0013964181757223034,0.015658779954257854,0.03421536033035495,0.0335208641702006,0.02714607077251659,0.007519484620983579,0.011003109249126829,0.00879363784303857,60.03681605340218,57.56119250391857,66.48185309768769,0.00864951698032675,0.1540088653564453,1.0,0.1540088653564453,0.0,0.0,0.3525316948568855,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.17626584742844276,0.8237341525715572
2021-06-01,30.93049163655426,31.157443940954614,30.719750652752964,30.94670295715332,2230600,0.0,0.0,0.0002465658772852432,0.0008514278126874372,0.0009798505729652935,0.015520075440206439,0.03277215206927085,0.031648998056720425,0.026127269818705008,0.0074529837207634965,0.010535423195839227,0.008953016206928868,63.895046608689725,62.76448297391097,71.18949072728456,0.008098062536999745,0.21885299682617188,1.0,0.21885299682617188,0.0,0.0,0.7118880819650488,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3559440409825244,0.6440559590174756
2021-06-02,31.060177164038148,31.50597763061523,30.8089063484798,31.50597763061523,3033400,0.0,0.0,0.0014490109173851782,0.005561995832968444,0.008955174833143115,0.015736035197332545,0.029951152130207787,0.031123910058699935,0.03302138442559164,0.0032424764466508775,0.01324650881584523,0.019280896249135572,68.0837481419444,67.50442278372945,76.20986448233093,0.011211602321026136,0.7781276702880824,1.0,0.7781276702880824,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2021-06-03,31.505978738341028,31.684300168038728,31.24660379986792,31.457347869873047,2465700,0.0,0.0,0.005733294100514102,0.002293857966940718,-0.0006278053722629624,0.01562847583933318,0.03488161743564908,0.03409429872943436,0.037711155149927525,0.012742605375190676,0.00921131043859072,0.017319567953784358,72.57095739123159,72.09322927649063,61.56920365790531,0.00909928739641349,-0.04862976074218395,1.0,0.7294979095458984,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5
2021-06-04,31.505978220643453,31.619454367861685,31.376290753537887,31.54650497436523,1841500,0.0,0.0,0.0015466592354293578,-0.0007650395247590427,0.0010568669944029405,0.0150217202795737,0.04168999714255457,0.03710171821987752,0.042955993725627854,0.012380046644468484,0.010912099904450474,0.016677562039915498,61.514321805960975,76.64972166212684,69.0047296014465,0.0068150338321827635,0.08915710449218395,1.0,0.8186550140380824,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2021-06-07,31.611347706254747,31.635663138129537,31.214178131006992,31.441133499145508,1646300,0.0,0.0,-0.002315505844460709,0.000229082363433257,-0.0014955639536413127,0.01495302565780056,0.04436264097671304,0.0388456642118825,0.04588015671276616,0.01570255711895645,0.011467950752627163,0.018787000271826143,67.53948418962115,64.22931954058855,56.15065570887854,0.006072285951612912,-0.10537147521972301,1.0,0.7132835388183594,0.03242566886092746,0.0946960286367897,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9547924723481636,0.04520752765183647
2021-06-08,31.433028513729397,31.53029643208355,31.07638875574341,31.181760787963867,2599800,0.0,0.0,-0.0022120424030511138,-0.0016680931749143459,-0.004141819284054255,0.01504022245565479,0.04594676259594151,0.040346088865910304,0.04651379670527596,0.017475610246220685,0.013364555536757649,0.02234827233292455,57.602466930580135,54.25332151014849,46.851674212953085,0.009510111679355181,-0.36474418640136363,-1.0,-0.2593727111816406,0.29990199779447835,0.6760548934911952,0.13222822264936512,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5958584419297198,0.4041415580702802
