Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,relative_volume
2020-11-13,46.31034250672524,46.93220587570171,45.86881602757452,46.80783462524414,19738200,0.0,0.0,0.001120273082419916
2020-11-16,46.80473609602213,47.69711213499217,46.41606872645876,47.39861679077149,34560300,0.0,0.0,0.001986282319598548
2020-11-17,46.79540435723999,47.64736105646532,46.38497063680374,46.44404983520508,42711600,0.0,0.0,0.002405324794648849
2020-11-18,46.59641049996149,47.15919834697736,46.34455439839386,46.356990814208984,24936900,0.0,0.0,0.0014017013948236588
2020-11-19,46.472037894301515,47.40172674001363,46.42850865768959,47.29912185668945,18590700,0.0,0.0,0.0010662195111081109
2020-11-20,47.003719110754446,47.4981012114264,46.58085261049782,46.71455383300781,21937200,0.0,0.0,0.0012425995873886946
2020-11-23,46.75497601375778,47.07523768110087,46.444044325323986,46.929100036621094,18557100,0.0,0.0,0.001055966495841419
2020-11-24,47.180952361485005,47.25557439513735,46.72387950636709,47.06279754638672,17155200,0.0,0.0,0.0009789743880437758
2020-11-25,47.02860574962145,47.38306671952979,47.01616577581456,47.208946228027344,13833300,0.0,0.0,0.0007918590909937269
2020-11-27,47.3084423316399,47.48567280783987,46.98196420223344,47.137428283691406,10999500,0.0,0.0,0.0006286901177134112
2020-11-30,47.137427745005965,47.55718787683493,46.67102838927261,47.50743865966797,32695500,0.0,0.0,0.0018834209832748457
2020-12-01,47.7592954785237,47.77795188004337,47.1560848766517,47.46080017089844,22935300,0.0,0.0,0.0013198886255806868
2020-12-02,47.26180727145445,47.45458417278585,46.49380254301088,46.8016242980957,23547000,0.0,0.0,0.0013362702968629078
2020-12-03,46.72699846783954,46.72699846783954,46.13933427227609,46.42228317260742,25725900,0.0,0.0,0.0014480877465549303
2020-12-04,46.487574386279825,46.487574386279825,45.88747383274059,46.3010139465332,20889300,0.0,0.0,0.0011727682335591105
2020-12-07,46.16109739036749,46.32589144122383,45.75688368763218,46.052268981933594,18479100,0.0,0.0,0.0010318810890766036
2020-12-08,45.81907560441965,46.593300308732815,45.763109954316526,46.46892547607422,20716500,0.0,0.0,0.001167284771154845
