Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-11,28.904101584455166,29.885411313563004,28.175552320020955,28.62160301208496,58980997,0.0,0.0
2020-11-12,28.45804761085601,28.502653272729862,27.68489276855792,27.91535186767578,46767877,0.0,0.0
2020-11-13,28.153246374593362,28.74054781362974,28.034299928750375,28.7108097076416,40175634,0.0,0.0
2020-11-16,28.145807879140527,28.212714870084167,27.394954455622226,27.75179672241211,75530167,0.0,0.0
2020-11-17,28.59220881925662,28.600043132327865,28.067220171834073,28.239604949951172,46984500,0.0,1.054
2020-11-18,28.936973402854928,29.320917487181607,28.443328019665866,28.458999633789062,63442700,0.0,0.0
2020-11-19,28.67839639113663,28.701905306961713,28.098561611067378,28.357135772705078,43261800,0.0,0.0
2020-11-20,28.75675392150879,29.2347276838844,28.553025929813582,28.75675392150879,60633800,0.0,0.0
2020-11-23,29.01532688863,29.062341728413866,28.372805690190106,28.615711212158203,43673100,0.0,0.0
2020-11-24,28.310123755137173,28.788097523729228,28.22393137207241,28.678396224975586,42485300,0.0,0.0
2020-11-25,28.6235408782959,28.647049788899338,28.396309995526163,28.6235408782959,26955800,0.0,0.0
2020-11-27,28.81944087121269,29.19555068319767,28.795934942043345,29.17204475402832,25277000,0.0,0.0
2020-11-30,29.736204612712406,30.40223170200937,29.461955878430846,30.018287658691406,65425900,0.0,0.0
2020-12-01,30.872372749653625,31.73429055680932,30.56678077422663,30.880207061767578,72499700,0.0,0.0
2020-12-02,31.71078240846658,32.44733024678434,31.577575199430477,31.969356536865234,84347500,0.0,0.0
2020-12-03,32.1104029401654,32.14958048205533,30.966401978272486,31.41303253173828,68570100,0.0,0.0
2020-12-04,31.25631722021599,31.69511343067376,31.25631722021599,31.60892105102539,35368100,0.0,0.0
2020-12-07,31.85966211003357,32.43949987504307,31.632428189350474,32.321964263916016,48253700,0.0,0.0
2020-12-08,32.43949428188647,33.512974254810764,32.400313758896374,33.348426818847656,87039300,0.0,0.0
2020-12-09,33.74804648449265,33.75588378564987,32.22793586694151,32.79209899902344,86118500,0.0,0.0
2020-12-10,32.768595110345494,33.08202141691404,32.4786777196552,32.69807434082031,57749200,0.0,0.0
2020-12-11,32.88613834070819,32.96449344097404,31.88317572078355,32.22010803222656,60737000,0.0,0.0
2020-12-14,32.61188568802802,32.643228920081654,30.613800974963098,30.723499298095703,94809700,0.0,0.0
2020-12-15,30.605963397768697,30.69999009484782,29.93993323840001,30.331714630126953,65712800,0.0,0.0
2020-12-16,29.91642248558383,30.143656373503575,29.57165599253804,29.65001106262207,56515300,0.0,0.0
2020-12-17,29.642184700011068,29.869415659810183,29.23473165039298,29.79889488220215,52036400,0.0,0.0
2020-12-18,29.76755038182849,29.84590546171765,29.38360331664032,29.52464485168457,60259200,0.0,0.0
2020-12-21,29.211219412883125,29.305249098380404,28.921302021903475,29.28957748413086,40891800,0.0,0.0
2020-12-22,29.156367917863474,29.250397595815276,28.678394183299392,28.788095474243164,33634400,0.0,0.0
2020-12-23,28.999655688601415,29.50113835294481,28.89779468453345,29.33658790588379,36182000,0.0,0.0
2020-12-24,29.305244567060754,29.438448784003036,29.13285982602549,29.203380584716797,14790100,0.0,0.0
2020-12-28,29.273907028732605,29.446291803246943,28.74108407937457,28.85078239440918,26993700,0.0,0.0
2020-12-29,28.91346561520353,29.148533833811978,28.82727323760103,29.03099822998047,23152100,0.0,0.0
2020-12-30,29.015326389990317,29.179876831878698,28.75675224825923,28.788095474243164,24889800,0.0,0.0
2020-12-31,28.725403795305738,28.92912874902175,28.43548648034503,28.842939376831055,30796500,0.0,0.0
2021-01-04,28.88995121819798,28.94480035916206,28.41981487020472,28.842939376831055,33565700,0.0,0.0
2021-01-05,28.772428787274404,29.281742845965685,28.678399093224115,29.140701293945312,29909400,0.0,0.0
2021-01-06,28.85861909529496,29.367933117212488,28.811604251664406,28.88995933532715,34962500,0.0,0.0
2021-01-07,29.023162006081908,29.10935437800658,28.733241666143584,29.038833618164062,27809500,0.0,0.0
2021-01-08,29.11719107566884,29.407108450311462,28.91346608001433,29.093685150146484,33462400,0.0,0.0
2021-01-11,29.16420634052297,29.64218009346961,29.109357187468895,29.595165252685547,47286900,0.0,0.0
2021-01-12,29.540313129039987,29.61083388859714,28.850777145487214,29.13286018371582,47831100,0.0,0.0
2021-01-13,28.991816512029647,29.12502072071731,28.70973349474502,28.882118225097656,31027900,0.0,0.0
2021-01-14,28.81943869717153,28.960480239658082,28.68623445652026,28.79593276977539,30272000,0.0,0.0
2021-01-15,28.741082307604948,28.819437388069428,28.521685691060622,28.75675392150879,34287800,0.0,0.0
2021-01-19,28.80376983039541,28.99182623466942,28.694071506675215,28.780263900756836,33451300,0.0,0.0
2021-01-20,28.827274351147135,28.84294596486701,28.56869720835127,28.600040435791016,35400100,0.0,0.0
2021-01-21,28.51384698750291,28.67056012978072,28.325793608013196,28.584367752075195,33829700,0.0,0.0
2021-01-22,28.45899830628091,28.858616975144802,28.404149153935613,28.639217376708984,26271200,0.0,0.0
2021-01-25,28.639224920897714,29.219062812931465,28.459005802996046,29.211225509643555,31728500,0.0,0.0
2021-01-26,29.20338653680483,29.46196071200469,29.1171941487199,29.234729766845703,27718700,0.0,0.0
2021-01-27,28.98398861468489,29.0231661559649,28.341464383662537,28.396316528320312,50561200,0.0,0.0
2021-01-28,28.475527603775287,28.776521502939108,28.388397552314284,28.404239654541016,39466700,0.39,0.0
2021-01-29,29.212167468609326,29.212167468609326,28.214136222721105,28.435922622680664,60251900,0.0,0.0
2021-02-01,28.45968066279159,28.665621913580583,28.29334315004992,28.356708526611328,40395800,0.0,0.0
2021-02-02,28.325028432013998,28.34087053384285,27.14482055069823,27.715124130249023,84062400,0.0,0.0
2021-02-03,27.715120082746804,27.952745532332944,27.54877954862213,27.59630584716797,38524200,0.0,0.0
2021-02-04,27.57254655963592,27.786410388969866,27.48541651565856,27.63591194152832,34284900,0.0,0.0
2021-02-05,27.659669876098633,27.786406666046343,27.548778206465762,27.659669876098633,31749600,0.0,0.0
2021-02-08,27.691353168081925,27.730956902859855,27.517096130744758,27.580461502075195,31633900,0.0,0.0
2021-02-09,27.56462344130232,27.770567726826748,27.532939240210602,27.69927978515625,30170200,0.0,0.0
2021-02-10,27.72304448184961,27.78641289101985,27.485418990605307,27.51710319519043,29039900,0.0,0.0
2021-02-11,27.564624355439086,27.572546916760615,27.152738792302426,27.27155303955078,30885200,0.0,0.0
2021-02-12,27.27947245766113,27.683438479246792,27.216107075230553,27.501258850097656,25578600,0.0,0.0
2021-02-16,27.604221319969426,27.612143879345815,27.37451846476249,27.477487564086914,28730300,0.0,0.0
2021-02-17,27.382444370815154,27.72304198550568,27.295314326837794,27.63591194152832,26389400,0.0,0.0
2021-02-18,27.548784057585078,27.627994568126013,27.342842773322687,27.374526977539062,24052500,0.0,0.0
2021-02-19,27.453730520295395,27.46957262012643,27.2477892656351,27.279470443725586,28145300,0.0,0.0
2021-02-22,27.192344996818317,27.224026176737745,26.96263906836482,27.13689613342285,34322500,0.0,0.0
2021-02-23,26.93095859146662,27.081454037005887,26.67749098762565,26.859670639038086,37624200,0.0,0.0
2021-02-24,26.827980712865678,26.97055658732252,26.669562738850125,26.73293113708496,30686100,0.0,0.0
2021-02-25,26.788379669189453,27.01808560353776,26.566596296203137,26.788379669189453,37506100,0.0,0.0
2021-02-26,26.804220089349755,26.85174638982563,26.424018750257687,26.52699089050293,41462800,0.0,0.0
2021-03-01,26.606196350641934,26.875505989757986,26.54282795481631,26.68540382385254,30407800,0.0,0.0
2021-03-02,26.677491602876085,26.843829155188104,26.534915694730856,26.542835235595703,27670400,0.0,0.0
2021-03-03,26.542827124933908,27.287390644748502,26.487381291105756,27.239864349365234,46020200,0.0,0.0
2021-03-04,27.13689973655995,27.794333407720863,26.804224641446353,27.08937644958496,45449600,0.0,0.0
2021-03-05,27.16065687863111,27.366598115482628,26.899266786380117,27.239864349365234,30589900,0.0,0.0
2021-03-08,27.31115542965465,27.620068831324264,27.192344209858778,27.20818328857422,24352300,0.0,0.0
2021-03-09,27.35868533454068,27.60423036740805,27.2794748226705,27.287397384643555,25167100,0.0,0.0
2021-03-10,27.43789277273602,27.833936266618636,27.342843180244373,27.667598724365234,33501800,0.0,0.0
2021-03-11,27.778487492884743,27.818091233786546,27.45373198297515,27.493335723876953,24557900,0.0,0.0
2021-03-12,27.374527158558813,27.70720224031456,27.334920392240427,27.675518035888672,16342400,0.0,0.0
2021-03-15,27.730960289331986,28.063638349549695,27.69135654971769,28.04779624938965,21896100,0.0,0.0
2021-03-16,28.095322333039313,28.404235729847034,27.968588554308667,28.380474090576172,25022400,0.0,0.0
2021-03-17,28.380477233369362,28.4834463626601,27.81809319525152,28.348793029785156,42540100,0.0,0.0
2021-03-18,28.14284081615732,28.491360914458934,28.1349212782737,28.332942962646484,24729800,0.0,0.0
2021-03-19,28.31710714897698,28.372552991179305,28.095323780167682,28.142847061157227,48348900,0.0,0.0
2021-03-22,28.103243528809497,28.523048629055364,28.00819394455175,28.51512908935547,25427500,0.0,0.0
2021-03-23,28.372553227685263,28.45968327232143,27.9765097677549,28.008193969726562,27970500,0.0,0.0
