Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,relative_volume,ATRP,fast_trend_run,structural_direction,slow_trend_run,breaking_gap,fast_swing_ratio,slow_swing_ratio,p_up,p_down
2020-12-16,114.7706626993678,115.70629359111553,114.13848001201906,114.64421844482422,2077200,0.0,0.0,0.006898264856940176,0.016535461416342108,0.00839996337889204,1.0,0.160125732421875,0.0,0.0,1.113790639241542,0.556895319620771,0.443104680379229
2020-12-17,114.97296197322189,116.39748246534091,114.13005165710796,114.9055404663086,2452200,0.0,0.0,0.008162181559523776,0.01672893749952926,0.26972198486326704,1.0,0.42144775390625,0.0,0.0,2.0,1.0,0.0
2020-12-18,114.8886957002442,115.0572752161144,113.45575052265843,113.86034393310548,4072700,0.0,0.0,0.013432730605161581,0.016681302372878196,-0.7754745483398438,-1.0,-1.0451965332031108,0.682729489360625,0.7751080132344365,2.0,0.0,1.0
2020-12-21,113.37145004980364,113.63275021879748,111.46647715504838,113.1522979736328,1804900,0.0,0.0,0.00591596936420887,0.01709786089423171,-1.4835205078125284,-1.0,-1.7532424926757955,0.0,0.0,2.0,0.0,1.0
2020-12-22,113.03427927570314,113.2871420827604,111.33159682470304,111.82891082763672,1600500,0.0,0.0,0.0051846466906953804,0.01731353618375778,-2.806907653808608,-1.0,-3.076629638671875,0.0,0.0,2.0,0.0,1.0
2020-12-23,112.14078950774176,113.29558545594496,111.83734126130908,112.52853393554688,1309800,0.0,0.0,0.004269500216560548,0.01690788633068176,-2.1072845458984517,1.0,0.6996231079101562,0.0,0.0,0.0517103945907363,0.5,0.5
2020-12-24,112.58754465597514,113.24501371774234,112.14922766086649,112.85726928710938,529800,0.0,0.0,0.0017320119529290734,0.016347982728008557,-1.7785491943359517,1.0,1.0283584594726562,0.0,0.0,0.11172197668331568,0.5,0.5
2020-12-28,113.17758204281374,113.60746171289765,112.46110306421537,112.90784454345705,1059100,0.0,0.0,0.003463940932221789,0.015898687558466518,-1.7279739379882812,1.0,1.0789337158203267,0.0,0.0,0.12298130305953046,0.5,0.5
2020-12-29,113.10168264420793,114.30705089896162,112.74766190931356,113.0595474243164,1044200,0.0,0.0,0.0034197969811770542,0.01572844615303641,-1.5762710571289205,1.0,1.2306365966796875,0.0,0.0,0.15999603236105528,0.5,0.5
2020-12-30,112.84882696665946,112.89939952313712,112.03120300549818,112.21664428710938,1196400,0.0,0.0,0.0038890459539039617,0.015369255235175381,-2.4191741943359517,-1.0,-0.8429031372070312,0.4299000587171804,0.03157917111535877,0.4691326814454858,0.7496440737195778,0.2503559262804223
2020-12-31,112.57911260190156,113.71704680315268,112.23351624604992,113.6496124267578,1480700,0.0,0.0,0.004874661108406669,0.0150345077704414,-0.9862060546875284,1.0,1.4329681396484233,0.0,0.0,2.0,0.5,0.5
2021-01-04,113.24502725337676,113.70861772434245,111.677213258279,112.44425201416016,1837000,0.0,0.0,0.005983507079645271,0.015400686998593155,-2.1915664672851705,-1.0,-1.205360412597642,0.3539897472191882,0.02608987951611916,0.7075559361275117,0.6331770921781845,0.3668229078218154
2021-01-05,112.68870014397936,112.73084823884749,110.77528982074284,112.562255859375,2246200,0.0,0.0,0.0073240382574067345,0.015526583630221556,-2.0735626220703267,-1.0,-1.0873565673827983,0.0,0.0,0.5757989846885491,0.7121005076557254,0.28789949234427453
2021-01-06,112.69710184145704,113.4557288103818,111.66032579856235,111.97219848632812,1821800,0.0,0.0,0.0059090858020510425,0.01563882946769632,-2.6636199951172017,1.0,-0.590057373046875,0.0,0.0,0.16955687897680297,0.9152215605115985,0.08477843948840148
